Name,Last,Chg%,Volume,Value (k),MCap (M),P/E,P/BV,D/E,DPS,EPS,ROA%,ROE%,NPM%,Yield%,FFloat%,Magic1,Magic2,PEG
BIOTEC,0.89,-1.11,9471100.0,8533.0,2778.0,13.78,2.28,1.3,,0.07,13.38,34.62,4.71,,31.24,241.0,321.0,2.47
BIS,8.4,0.6,51800.0,433.0,2669.0,44.18,3.57,0.53,0.06,0.19,7.31,7.68,2.63,,29.14,896.0,797.0,1.09
BIZ,4.4,0.0,97500.0,428.0,2631.0,15.43,3.45,0.88,0.43,0.28,12.81,20.94,14.46,10.26,20.34,355.0,373.0,0.09
BJC,37.5,0.0,1628500.0,61249.0,149290.0,31.34,1.27,1.68,0.15,1.19,3.37,4.11,2.79,1.76,25.57,974.0,962.0,13.3
BJCHI,1.71,-1.16,1978000.0,3373.0,2719.0,69.12,0.78,0.23,0.05,0.02,0.98,1.13,9.86,2.92,25.74,1187.0,1206.0,-0.24
BKD,2.9,-8.23,31049200.0,93123.0,3121.0,17.59,2.16,0.29,0.05,0.16,11.13,12.81,11.63,1.72,25.34,513.0,451.0,-0.48
BKI,287.0,0.35,51600.0,14739.0,30557.0,,0.93,1.04,3.50,0.0,-2.96,-5.94,-11.98,5.23,84.43,,,
BLA,31.0,4.2,9657800.0,297454.0,53361.0,16.64,1.29,7.3,0.32,1.88,0.92,7.21,8.01,1.81,44.35,671.0,918.0,2.62
BLAND,1.03,0.0,10753200.0,10988.0,17896.0,14.7,0.41,0.2,0.03,0.07,3.75,2.75,2.55,2.91,71.93,816.0,758.0,-0.43
BLESS,0.94,1.08,206600.0,193.0,752.0,14.75,0.66,0.95,0.05,0.06,1.97,3.06,5.46,,27.97,797.0,825.0,-0.31
BLISS,0.14,0.0,0.0,0.0,0.0,,,0.67,0.25,0.0,-5.6,-11.68,-23.51,,37.19,,,
BM,5.0,-0.99,1858300.0,9250.0,2572.0,43.78,2.97,0.75,0.04,0.11,5.55,7.46,5.69,0.73,42.6,903.0,877.0,3.45
BOL,10.6,2.91,1240900.0,13172.0,8533.0,31.52,9.72,0.37,0.17,0.33,28.03,33.01,38.72,2.78,32.77,487.0,463.0,1.2
BPP,16.8,1.82,1176900.0,19735.0,50897.0,8.09,0.99,0.49,0.40,2.06,11.27,12.91,43.09,3.87,21.24,304.0,240.0,-1.96
BR,2.88,1.41,414100.0,1187.0,2649.0,9.87,0.62,1.48,,0.29,5.35,6.45,3.98,,53.62,568.0,514.0,-0.19
BRI,11.9,4.39,4043100.0,47551.0,10148.0,8.39,2.28,1.34,,1.42,16.69,41.49,25.03,,27.07,110.0,166.0,-1.39
BROCK,1.77,1.14,31400.0,55.0,1814.0,70.32,1.42,0.03,0.01,0.03,3.08,2.03,11.33,0.56,15.86,1153.0,1093.0,0.71
BROOK,0.49,2.08,6988400.0,3442.0,4564.0,,1.58,0.21,0.01,0.0,1.05,-3.78,-45.06,3.62,39.2,,,
BRR,7.6,0.0,2743800.0,20872.0,6131.0,6.52,2.19,2.07,0.07,1.16,13.93,39.92,13.73,0.92,24.65,73.0,153.0,0.02
BSBM,0.94,0.0,81300.0,76.0,1043.0,57.44,0.56,0.01,0.02,0.02,0.12,0.07,0.12,5.32,31.17,1171.0,1168.0,-14.39
BSM,0.35,-2.78,290900.0,102.0,746.0,,1.59,1.93,,0.0,1.01,-3.48,-2.89,,53.5,,,
